united	6	academic press	0.005844771255432938
united	277	info.com	0.005052110514230171
united	594	ubm plc	0.004940392540049437
united	218	fico	0.00456345919187986
united	279	informationweek	0.004351193639182813
united	380	morgan kaufmann	0.004313909223003507
united	0	1890 us census	0.0034270021736741343
united	226	first amendment to the united states constitution	0.0031858367799163668
united	542	sorrell v. ims health, inc.	0.0031720088147788126
united	565	supreme court of the united states	0.0030983638207818087
united	266	human rights	0.003049299220552402
united	599	united states national research council	0.0029213362787064243
united	3	advise	0.002633979956867344
united	451	prentice hall	0.002567272239297557
united	396	national security agency	0.00242556837434306
united	596	us congress	0.0024242658724053946
united	488	robert m. hayes	0.00239274255087898
united	67	capps ii	0.0023843097100235515
united	343	list of search engines	0.0023258394020618
united	395	national institute of standards and technology	0.0022841017421830487
united	393	national bureau of standards	0.0022841017421830487
united	500	sas institute	0.002228225150528863
united	303	international conference on very large data bases	0.0022219218349848876
united	262	hitwise	0.0020300446363919872
united	210	experian hitwise	0.0020300446363919872
united	58	boogami	0.001979866224259962
united	206	european summer school in information retrieval	0.001974473644449781
united	258	hans peter luhn	0.0019480326079611512
united	203	eugene garfield	0.001861846939406607
united	234	gartner	0.0018525800650075058
united	269	ieee	0.0017748661160090805
united	407	northern light group	0.0017049923958533293
united	454	privacy	0.0016750731045183606
united	462	pubmed identifier	0.0016613893291043016
united	489	robert r. korfhage	0.0016440299057149084
united	55	biomedical	0.0015990323144095021
united	554	statsoft	0.0015356095742315291
united	510	scientific american magazine	0.0015247962754245835
united	636	web scraping	0.0015088383023424924
united	441	pharmacy	0.0014275663569446148
united	572	telecommunication	0.0014172828675907162
united	230	forrester research	0.0013877609611020669
united	356	magellan (search engine)	0.0013868752803456955
united	209	excite	0.0013868752803456955
united	56	blackle.com	0.0013855495502219256
united	62	british petroleum	0.0013608161463359333
united	584	tim berners-lee	0.0013551590557452037
united	26	angoss	0.0013022473705492827
united	633	web portal	0.0012943619960635714
united	381	msnbot	0.001282099079124396
united	217	f. wilfrid lancaster	0.001282099079124396
united	560	stellar wind (code name)	0.00125763860724695
united	438	people's republic of china	0.0012514708041808317
united	204	europe	0.0012152507782093275
united	301	intellectual property	0.0011856920620814193
united	198	electronic health records	0.0011819071698363106
united	304	international standard book number	0.0011585134908414013
united	30	argonne national laboratory	0.0011382500797223903
united	567	surveillance	0.001128409830124834
united	296	initial public offering	0.0011176019956132283
united	134	cyril w. cleverdon	0.0011176019956132283
united	281	information access	0.0011163793821546994
united	394	national center for supercomputing applications	0.0011139455815316463
united	194	duckduckgo	0.0010780714326747588
united	80	chacha (search engine)	0.0010729552552486484
united	261	herman hollerith	0.0010709645550759643
united	205	european conference on machine learning and principles and practice of knowledge discovery in databases	0.0010555904772555635
united	190	dot-com bubble	0.0010365556154958255
united	358	mark mccahill	0.001027650157777968
united	131	cultural studies	0.001027102494056636
united	591	trevor hastie	0.0010210004383961252
united	463	public library	0.0010194359514977647
united	360	mass surveillance	0.001010971112309528
united	444	police-enforced anpr in the uk	0.001001351900475818
united	497	russian federation	9.953235569119803E-4
united	300	intellectual freedom	9.951953887553594E-4
united	602	university of minnesota	9.912112611732003E-4
united	324	karen spa�rck jones	9.794592790619153E-4
united	12	advertising	9.643994289004736E-4
united	347	looksmart	9.456299926553092E-4
united	268	ibm	9.357299827552995E-4
united	581	theodor nelson	9.335734276364463E-4
united	305	internet search engines and libraries	9.26899229204954E-4
united	617	vivisimo	9.254481542916524E-4
united	239	genieknows	9.18559953916659E-4
united	452	preservation (library and archival science)	9.130304454926549E-4
united	167	decision support system	9.105033752502107E-4
united	310	jasis	9.046054641592547E-4
united	608	vannevar bush	8.99267552611217E-4
united	41	atlantic monthly	8.977700423197398E-4
united	624	web cache	8.944134984857948E-4
united	96	communications of the acm	8.78607643024264E-4
united	129	cryptography	8.556614816341665E-4
united	109	computer animation	8.528617145388559E-4
united	367	medicine	8.520142891154156E-4
united	648	world wide web	8.471330230694787E-4
united	79	censorship	8.378440413141599E-4
united	172	desktop search	8.35129382154699E-4
united	587	total information awareness	8.323944244222272E-4
united	278	informatics (academic field)	8.097378301850738E-4
united	400	nature (journal)	8.046129502298159E-4
united	170	deepwater horizon oil spill	7.777325972244532E-4
united	373	microsoft	7.570307509902506E-4
united	74	carnegie mellon university	7.41179529347877E-4
united	509	science, technology and society	7.399876817498401E-4
united	73	cancer	7.391549459540081E-4
united	348	lycos	7.266720603066172E-4
united	546	spell checker	7.21378899342802E-4
united	538	software engineering	7.183445574756414E-4
united	219	facebook	7.180310808458711E-4
united	361	massachusetts institute of technology	7.172755148358364E-4
united	351	mit	7.171976450176636E-4
united	534	society for industrial and applied mathematics	7.102231555980596E-4
united	114	computer networking	6.885278978809326E-4
united	370	metadata	6.720566058743755E-4
united	592	true knowledge	6.716031372018048E-4
united	345	local search (internet)	6.629982346137153E-4
united	200	emanuel goldberg	6.548224767838545E-4
united	247	google	6.458620898795137E-4
united	72	cambridge university press	6.442483929738638E-4
united	76	case western reserve university	6.40454247811758E-4
united	447	powerset (company)	6.366975365575936E-4
united	519	search engine optimization	6.31806597344572E-4
united	326	keyword (internet search)	6.31806597344572E-4
united	254	grid computing	6.283845141195082E-4
united	464	punched cards	6.213343048793692E-4
united	364	mcgill university	6.175354821264583E-4
united	292	information society	6.099553257237718E-4
united	354	msn search	6.095530923632607E-4
united	344	live search	6.095530923632607E-4
united	52	bing	6.095530923632607E-4
united	349	matrix	6.07906250676248E-4
united	192	dracula	6.040429712547344E-4
united	68	cern	6.026521215875503E-4
