'	2318|2326
'Artusi-Monteverdi'	2315
'Bean'	2329
'Beijing'	2328
'I	2327|2328
'I'	2325|2327|2328
'January'	2328
'Measurements	2325
'Si	2315
'Sindhi'	2328
'Source	2329
'The	2329
'Uman'	2326
'Zapotec'	2328
'air'	2326
'airplane'	2326
'alive'	2328
'all'	2326
'also'	2328
'arch'	2328
'arm'	2326
'at'	2326
'be	2327
'bean'	2329
'bear'	2326
'beard'	2328
'beat'	2323
'beauty'	2325
'bed'	2325
'bee'	2327
'beech	2326
'beet'	2328
'blue'	2325|2328
'boot'	2326
'boring'	2326
'boy'	2326
'breeze'	2328
'bridge'	2326
'bureau'	2328
'cannon	2323
'car	2328
'cat'	2328
'chair'	2328
'cheese'	2328
'cold'	2327
'courage'	2326
'cross-eyed'	2325
'cultural'	2320
'curable'	2326
'dagger'	2328
'day'	2325
'determination'	2327
'difficult'	2327
'door'	2326|2328
'dry	2327
'earth'	2327
'endolabial'	2326
'enjoyment'	2328
'exolabial'	2326
'fast'	2328
'fat'	2328
'finished'	2328
'five'	2328
'flower'	2326
'fog'	2327
'fold'	2325
'foot'	2326
'free'	2328
'garden'	2328
'goal'	2328
'good'	2328
'great	2323
'half-brother'	2328
'he	2327|2328
'heart'	2328
'his	2328
'hot'	2327
'hunger'	2328
'ice'	2328
'ill'	2328
'image'	2326
'island'	2328
'it's	2328
'juice'	2326
'king'	2325
'laugh'	2325
'leaf'	2328
'lean'	2325
'leather	2326
'life'	2327
'little	2328
'long'	2328
'moon'	2326
'mouth'	2326
'mushroom'	2326
'my'	2328
'narrow'	2326
'neck'	2325
'nest'	2326
'noon'	2327
'nose'	2325|2328
'numb'	2325
'one'	2326
'our'	2328
'owl'	2328
'parent'	2328
'pen'	2328
'persimmon'	2328
'person'	2328
'picture'	2327
'plate'	2328
'play'	2325
'poem'	2328
'pond'	2328
'pretty'	2328
'pushes'	2323
'rage'	2328
'ran	2323
'rearmost'	2326
'religion'	2328
'root'	2327
'rope'	2328
'roses'	2327
's	2329
'see'	2325
'seed'	2327
'shall	2328
'she'	2328
'silver'	2328
'sister'	2327
'six'	2328
'sky'	2326
'slackness'	2320
'sole'	2328
'soul'	2325
'south'	2326
'sow'	2326
'species'	2311|2319
'stars'	2325
'strange'	2325
'table'	2325
'teddy	2328
'thank	2328
'the	2328
'this'	2328
'three'	2325|2328
'to	2325|2326|2327|2328
'to'	2326
'tongue'	2328
'tree'	2328
'trees'	2328
'type'	2328
'unease'	2326
'village'	2328
'where'	2326
'white'	2328
'who'	2328
'why'	2325
'world'	2326
'yellow'	2326
'you'	2326|2327
-	2311|2312|2313|2314|2315|2316|2317|2318|2319|2320|2321|2322|2323|2324|2325|2326|2327|2328|2329|2330
-112	2330
-76	2318
-87	2329
-Guaran	2327
-SkMAAAAIBAJ	2318
-inch	2329
-listed	2317
0	2311|2316|2317|2318|2322|2329|2330
0-14-071028-0	2317
0-19-315248-7	2315
0-19-500266-0	2323
0-19-518948-5	2323
0-226-15510-2	2323
0-345-40102-6	2323
0-393-32443-5	2323
0-395-91090-0	2311
0-415-06042-7	2323
0-460-03155-4	2315
0-486-25593-X	2323
0-486-40913-9	2323
0-521-05803-1	2323
0-521-23591-4	2315
0-521-42239-6	2323
0-521-69798-0	2315
0-521-87525-0	2315
0-575-01472-5	2315
0-596-00185-1	2316
0-596-00364-1	2316
0-631-19814-8	2326
0-671-66068-3	2319
0-7083-0861-9	2327
0-7112-2378-5	2311
0-7808-0008-7	2323
0-7923-4066-3	2323
0-8078-4108-0	2323
0-8153-0322-X	2323
0-8242-0958-3	2323
0-8264-5513-1	2317
0-85033-325-3	2317
0-85131-283-7	2319
0-85229-290-2	2323
0-86147-315-9	2317
0-89815-169-4	2311
0-907462-05-7	2323
0-916422-74-7	2311
0-931340-53-5	2315
0-937537-00-4	2318
0-943955-00-9	2319
0-947643-81-8	2311
0-9517206-9-4	2320
0-9533132-7-1	2317
00	2323|2325|2329
000	2318|2319|2321|2322|2323|2329
0006	2311
0008	2311
001	2311
002	2311
002238	2316
0025-1003	2328
0065	2311|2325
0069	2328
0074	2311
0075	2326
0094	2311
01	2330
01456	2317
0166	2311
02	2312|2313|2325
0201	2311
0268	2327
028504	2314
03	2316
0330	2329
036	2330
0372-4123	2311
04	2316|2317|2329|2330
0407200264_1_police-officers-madrid-train-bombings-metra	2329
0410_feature7-2	2329
043	2330
0463	2311
05	2320|2329
050	2321
06	2329
07	2316|2328|2329
07-10	2318
07268609708599550	2325
079	2323
08	2324|2329
0806-1st-gilf	2329
09	2322
098	2317
0cAered-vqYC	2311
