'	2212|2213|2217|2218|2219|2222|2224|2226|2229
'40s	2229
'50s	2229
'60s	2229
'75	2221|2223
'92	2218|2219
'93	2218|2219
'96	2218|2219
'97	2218|2219
'98	2218|2219
'A	2212
'Beautiful	2212
'Best	2212
'CHICAGO'	2222|2229
'Cause	2212
'Cheese	2227
'Cheryl	2212
'Chicago	2222
'Chicago'	2221|2222
'Chinese	2227
'Cloutgate'	2228
'Da	2222
'Female	2212
'I	2212
'I'm	2212
'Idol	2221
'Idol'	2212
'It	2212
'L'	2218|2219|2224
'Lake	2224
'Le	2217
'Left	2212
'Like	2212
'Love	2222
'Make	2222
'Metropolitan	2218|2219
'Micro'	2218|2219
'Occupy	2224
'Opa	2218|2219
'RedEye'	2218|2219
'Round	2222
'Screw	2212
'Show	2226
'Some	2212
'The	2212|2217|2229
'Try	2222
'WE	2224
'Waldo	2229
'X	2212
'aggression'	2212
'best-dressed'	2212
'contracted	2212
'em	2224
'exchange	2218|2219
'fan	2229
'files	2212
'first'	2225
'for	2212
'glamorous	2222
'hopes	2212
'incredible'	2212
'influenced	2212
'miming'	2212
'misleading'	2212
'n'	2221
'not	2212
'promises	2212
's	2215|2218|2219|2225
'tell	2212
'unretired'	2229
'vote	2212
-	2212|2213|2214|2215|2216|2217|2218|2219|2220|2221|2222|2223|2224|2225|2226|2227|2228|2229|2230
--	2221|2223|2224|2228|2229
-2011	2218|2219
-87	2218|2219|2224
-_caller	2218|2219
-_lang	2218|2219
-context	2218|2219
-cost-wiser-dream-job-at-chicago-s	2227
-ds_name	2218|2219
-fa	2218|2219
-format	2218|2219
-geo_id	2218|2219
-mt_name	2218|2219
-search_results	2218|2219
-state	2218|2219
-tree_id	2218|2219
0	2218|2219|2224|2226|2227|2228|2229
0-214-20512-6	2221
0-226-31015-9	2218|2219
0-226-64431-6	2218|2219
0-226-76471-0	2218|2219
0-226-76874-0	2218|2219
0-226-97813-3	2224
0-252-02941-0	2218|2219
0-252-06676-6	2218|2219
0-275-98473-7	2222
0-292-75215-6	2218|2219
0-300-11487-7	2222
0-312-03414-8	2222
0-393-30873-1	2218|2219
0-395-53379-1	2228
0-528-81826-0	2228
0-571-21169-0	2222
0-684-80194-9	2218|2219
0-7385-5229-1	2218|2219
0-8020-4398-4	2218|2219
0-8093-2304-4	2229
0-8195-6498-2	2225
0-8240-3974-2	2224
0-8478-1179-4	2224
00	2212|2218|2219|2221|2224|2227
000	2212|2215|2218|2219|2224|2226|2227|2228|2229
000-seat	2229
000-word	2228
00001389	2224
00010829	2218|2219
0002-7790	2228
001	2226
002	2226
0026-2927	2228
003	2226
004	2226
005	2218|2219|2226
006	2226
007	2226
008	2226
009	2226
01	2212|2218|2219|2224|2227|2228|2229
010	2226
01000US	2218|2219
0104250191_1_runways-mayor-richard-daley-o-hare-international-airport	2227
0105010133_1_mr-feldman-preakness-winner-codex-dave-feldman	2227
0106010307_1_chicago-sun-times-mr-weintraub-reporter-and-columnist	2227
011	2226
0110260176_1_stories-copy-editor-words	2227
011214	2228
012	2226
013	2220
014	2226
015	2226
016	2218|2219|2226
017	2226
018	2215|2226
019	2226|2229
01hanson	2224
01paper	2227
02	2212|2227|2228
020	2226
0205030263_1_chicago-sun-times-bill-adee-important-paper	2227
020920_1	2228
022	2226
024	2226
025	2226
03	2212|2217|2221|2223|2227|2228
0303040230_1_first-inaugural-address-iran-contra-affair-comic-actor-john-candy	2218|2219
04	2212|2224|2226|2227|2228|2229
0402200154_1_mr-neal-steve-neal-chicago-sun-times	2227
041105_1	2228
045	2218|2219
05	2212|2218|2219|2225|2226|2227|2228
05-Dec-2009	2227
050402	2226
050515	2218|2219
050515travel_diverse	2218|2219
0521890462	2214
0593066383	2212
05_great_fire	2227
05_issues	2218|2219
05cius	2218|2219
06	2212|2218|2219|2224|2226|2228|2229
0604260215_1_sun-times-news-group-chicago-sun-times-henry-kisor	2227
06072010	2212
0608	2218|2219
0609020203_1_chicago-sun-times-dennis-franz-tribune	2227
061103	2224
0617	2212
07	2217|2224|2227
0717	2212
072	2218|2219
0748-8149	2218|2219
07AR	2226
08	2212|2218|2219|2221|2228
080515	2218|2219
0808261004_1_chicago-sun-times-sports-journalism-jay-mariotti	2227
089	2220
09	2212|2221|2226|2228|2230
090105-cheryl-cole-on-british-vogue-cover	2212
090409-cheryl-cole-is-glamours-best-dress	2212
0910160286_1_sun-times-media-group-owners-headlines	2227
098	2229
099	2218|2219
0Ara-YVofdq9jdHBlal9OaGhWUDFsbkNFbkpraV9tS3c	2218|2219
1	2212|2213|2214|2215|2216|2217|2218|2219|2220|2221|2222|2223|2224|2225|2226|2227|2228|2229|2230
1's	2212
1-35	2230
1-4039-6539-0	2222
1-56750-677-1	2218|2219
1-57912-313-9	2222
1-890093-03-3	2218|2219
1-900924-56-0	2217
1-DVD	2221
1-Year	2218|2219
1-run	2229
10	2212|2213|2215|2217|2218|2219|2220|2221|2222|2224|2226|2227|2228|2229
10-18-2012	2215
10-acre	2218|2219
10-years-of-girls-aloud	2212
100	2212|2213|2215|2217|2218|2219|2221|2226|2227|2228|2229
100-sexiest-2009	2212
1000	2218|2219|2229
100th	2224
101	2212|2213|2215|2218|2219|2222|2224|2227|2229
102	2212|2215|2218|2219|2225|2227|2229
1023	2224
102nd	2218|2219
103	2212|2215|2218|2219|2227|2229
103081332	2212
1031	2224
1036788	2212
104	2212|2213|2215|2217|2218|2219|2226|2227
105	2212|2213|2215|2218|2219|2227|2229
