'	2474|2478|2484|2485|2486
'50s	2470
'70s	2470
'78	2479
'80s	2470
'Arorangi	2474
'Control'	2470
'Foundations	2485
'GNU	2484
'General	2484
'La	2478
'Nasty'	2470
'The	2478
'Tivaivai	2474
'What	2470
'absurd'	2487
'aparima	2474
'ava	2474
'before	2470
'full'	2478
'gimme	2470
'make	2481
'n'	2470
'nasty'	2470
'ote'a	2474
'poor	2485
'ripping	2484
's	2478
'skill	2485
'species'	2480
'stolen'	2484
'upa'upa	2474
'viral'	2484
-	2470|2471|2472|2473|2474|2475|2476|2477|2478|2479|2480|2481|2482|2483|2484|2485|2486|2487|2488
--	2484
-1	2484
-159	2474
-21	2474
-4-oxo-2	2480
-Pwo	2474
-aceus	2480
-convex	2473
-moz-transform	2484
-ms-filter	2484
-o-transform	2484
-webkit-transform	2484
0	2474|2475|2476|2477|2478|2479|2480|2482|2484
0-0	2478
0-00-216983-5	2480
0-02-063690-3	2480
0-07-039159-9	2471
0-07-070096-6	2471
0-11-491565-2	2480
0-12-469540-X	2480
0-13-032393-4	2471
0-13-146315-2	2485
0-13-958653-9	2471
0-19-533836-7	2485|2486
0-262-06246-1	2484
0-295-96480-4	2480
0-306-80901-X	2470
0-312-13499-1	2470
0-314-96279-4	2485
0-387-98489-5	2471
0-395-91090-0	2480
0-471-26637-X	2471
0-472-85599-9	2480
0-486-68200-5	2471
0-520-03656-5	2480
0-521-56047-0	2480
0-596-00287-4	2484
0-646-11917-6	2470
0-674-80522-4	2485
0-691-13576-2	2471
0-7055-0735-1	2474
0-7432-0169-8	2470
0-7552-0098-5	2470
0-8131-9039-8	2480
0-8133-1385-6	2485
0-8205-1465-9	2485
0-8247-9544-X	2480
0-8265-1373-5	2485
0-85667-468-0	2477
0-89815-169-4	2480
0-919433-47-2	2480
00	2475|2477|2479
00-Eller	2478
000	2470|2474|2475|2477|2478|2487|2488
000000	2477
000000015	2477
00010694-198308000-00001	2480
00062510	2470
00064165	2470
000a	2475
000th	2478
001	2477
0013	2477
002	2477
00215996	2470
0026-1394	2477
0028	2477
00289604	2470
003	2477
00328	2480
0035791X	2470
004	2477
005	2475
0055	2471
0073	2480
008	2474
01	2470|2477|2478|2479|2485|2487|2488
01-e	2470
0169	2480
01908286	2470
02	2470|2477|2487|2488
0253-651X	2480
0254	2484
028020-119	2470
02_febrero	2478
03	2470|2475|2477|2478|2486|2487
0301	2484
03190781	2470
032	2475
0362-1340	2484
03624331	2470
04	2470|2472|2477|2478|2482|2486|2487
04-09-2009	2470
04-8copyright	2488
04583035	2470
05	2474|2477|2478
05-03sharedsource	2484
05112010-globalpiracystudy	2487
06	2477|2478|2483|2484|2487
0674018583	2484
069	2475
07	2477|2478
072	2475
0742	2470
07431791	2470
07445458	2470
0745324142	2484
08	2475|2476|2477|2478|2479
08-001	2485
0802714129	2474
084	2475
0846	2484
09	2474|2477|2486
093	2475
0971-3719	2480
0CGEQ6AEwBg	2470
0s	2482
