'	3120|3123|3124|3129|3130
14	3119|3120|3121|3123|3124|3127|3128|3129|3130|3131|3132|3133|3134|3135|3136|3137
14-year-old	3132
140	3128
140391723X	3120
141	3128
1419118579	3128
142	3127|3128|3135
142-145	3129
1428	3128
143	3123|3127|3128
144	3128|3129
144142671500419072	3119
145	3128|3131
146	3128
1460s	3135
1468796804045237	3129
147	3126|3127|3128
1470	3133
1472	3133
148	3124|3128
1482	3134|3135
149	3120|3128|3132
1497-1524	3131
14th	3128|3129|3130
15	3119|3120|3121|3122|3123|3124|3126|3127|3128|3129|3130|3131|3132|3133|3134|3135|3136|3137
150	3120|3124
1500	3126|3128
1505	3135
1508	3128
1524	3120
1525	3120|3128|3129
1527	3128
1528	3120
153	3128
1530	3133
1532	3130
1533	3135
1535	3120
154	3128|3133
1541	3128
1543	3135
155	3131
1557	3135
1558	3135
1562	3135
1564	3135
1566	3135
157	3129
1570	3135
1572	3135
1573	3135
1574	3135
1575	3135
1576	3135
1577	3128|3136|3137
158	3124|3128
1581909	3132
15860017	3128
159	3124|3128
1594	3135
1596	3136|3137
15th	3128|3130
16	3119|3120|3123|3124|3127|3128|3129|3130|3131|3132|3133|3135|3136|3137
160	3122|3127|3128
1600	3128
1604	3135
1606	3135
1607	3135
1608004513	3132
1613	3135
1615	3135
1617	3135
162	3128
1624	3128
163	3135
163-164	3128
163-244	3124
1632	3128
1637	3120|3135
1639	3135
164	3128|3132
1648	3136|3137
165	3135
1650	3136|3137
1651	3135
1657	3123
166	3128
1660	3135
1661	3135
1663	3135
167	3128|3135|3136|3137
1672	3128|3135
1677631	3132
1680	3135
1685	3135
1686	3120
1689	3135
169	3127|3128|3130
1690	3135
1694	3135
1695	3135
1697	3135
16th	3130
17	3119|3120|3122|3123|3124|3127|3128|3129|3130|3131|3132|3133|3135|3136|3137
17-year-long	3128
170	3128|3131
1702	3135
1705	3135
1708	3135
171	3128
1714	3135
1715	3120
172	3129
1720s	3135
173	3132
173-195	3127
1731	3135
1734	3128
1738	3135
174-188	3127
1744	3131|3135
1745	3135
1749	3135
174th	3128
175	3128
1750	3120
1752	3135
1755	3128
1756	3135
1763	3135|3136|3137
177	3130
1773	3135
1780	3135
1781	3135
1788	3135
1789	3135
1795	3135
1797	3124
17th	3120|3128|3129|3136|3137
18	3119|3120|3121|3123|3124|3127|3128|3129|3131|3132|3133|3135|3136|3137
180	3136|3137|3138
1800	3123
1803	3135
1804	3135
1807	3135
1808	3135
1809	3131
181	3129
1810	3120
1818	3135
182	3120
1820	3120|3135
1824	3124
1826	3135
1828	3135
1829	3131
18292342	3128
183	3128
1830	3136|3137
1833	3135
1836	3135
1837	3136|3137
184	3128|3131
1840	3120
1843	3131
1844	3128|3135
1845	3135
1847	3135
1850	3135
1851'	3129
1855	3128
1859	3135
1862	3135
1863	3129
1865	3135
1868	3128
187	3128
1870s	3120
1871	3123|3128
1872	3123|3128
1875	3123|3128
1876	3128
1878	3123
1879	3127
1880	3120|3135
1880s	3123
1881	3123|3128
1882	3131|3136|3137
1883	3123|3127
1885	3120|3128
1888	3123|3128
1889	3128
1892	3128|3133
1896	3123|3128
1897	3128|3136|3137
18th	3119|3128|3136|3137
19	3119|3120|3121|3122|3123|3124|3127|3128|3129|3131|3132|3134|3135|3136|3137
190	3135|3136|3137
1900	3129|3136|3137
1900s	3128
1901	3128|3135
1902	3131|3136|3137
1908	3124|3127|3134|3135|3136|3137
1908-01-16	3127
1909	3123
191	3128|3136|3137
191-192	3127
1910	3128
1911	3128|3133
1912	3127
1913	3128
1916	3128
1917	3120
1918	3120|3136|3137
1919	3120|3136|3137
192	3126|3128
1921	3120
1922	3129
1924	3127
1925	3135|3136|3137
1926	3128
193	3128
1930	3123|3127|3128|3133
1930s	3120|3131
1931	3127
1932	3127|3136|3137
1934	3123|3127
1935	3127|3128|3129
1936	3127|3128
1936-01-06	3128
1937	3133
1938	3127|3132
1938-01-25	3132
1939	3123|3127|3135|3136|3137
1939332	3132
1940	3120|3127
1941	3127|3128
1942	3127|3128
1943	3127|3128
1944	3127|3128
1945	3120|3127
1946	3127
1948	3127
194880	3134
1949	3127
195	3128|3136|3137
1950	3127|3129|3132
1950s	3129|3132
1951	3127|3130|3131|3136|3137
1952	3127|3128|3130
1953	3127|3130|3131
1954	3127|3132
1955	3127|3132
1956	3127|3134|3135|3136|3137
1956-59	3127
1956-august-republican-national-convention	3127
1957	3127|3136|3137
1958	3127|3130|3136|3137
1959	3123|3127|3129|3132
1960	3119|3127|3132|3133|3134|3135|3136|3137
1960s	3129|3131
1961	3127|3129|3132|3136|3137
1962	3127|3128|3132
1963	3127|3128|3132|3134|3135|3136|3137
1964	3127|3128
1965	3120|3127|3128|3130|3132
1966	3127|3128|3133|3136|3137
1967	3127|3128|3129|3132|3134
1968	3127|3129|3131|3132
1969	3127|3128|3129|3130|3132
197	3128|3129|3136|3137
1970	3127|3128|3131|3132
1970s	3120|3129|3132
1971	3127|3128|3129
1972	3127|3128|3129|3131|3132
1973	3120|3127|3128|3131|3132|3136|3137
1974	3123|3127|3128|3129|3130|3132|3133|3135
1975	3127|3128|3129|3131|3132|3134|3138
1976	3127
1977	3120|3127|3128|3129|3132
1978	3123|3127|3129|3130|3132|3134
1979	3127|3136|3137
198	3136|3137
1980	3119|3127|3128|3132|3133|3134
1980-01-18	3119
1980s	3128|3129|3132
1981	3127|3128|3131|3132|3134
1982	3127|3129|3136|3137
1983	3127|3128|3129|3136|3137
1984	3122|3123|3127|3128|3130
1984-02-15	3127
1985	3127
1986	3127|3129|3130
1987	3128|3129|3132|3135
1988	3123|3130|3132|3135
1989	3120|3128|3129|3132
1990	3128|3132|3136|3137
1990s	3127|3129|3132
1991	3123|3128|3129|3131|3132|3133|3134|3135
1992	3126|3128|3129|3130|3132|3134
1993	3122|3128|3129|3132|3135
1994	3122|3128|3132|3136|3137
1994-02-23	3128
1995	3124|3128|3129|3132|3136|3137
1996	3128|3129|3130|3132
1996-04-23	3128
1997	3128|3129|3135|3136|3137
1998	3123|3128|3129|3132|3136|3137
1999	3122|3123|3124|3128|3129|3132|3134|3135|3136|3137|3138
1999-05-21	3122
19th	3120|3128|3129|3131|3134|3136|3137
19th-century	3129
1eDYTZ2NN4mq8QPF5eGDBQ	3132
2	3119|3120|3121|3122|3123|3124|3125|3126|3127|3128|3129|3130|3131|3132|3133|3134|3135|3136|3137|3138
2-3	3129
20	3119|3120|3121|3123|3124|3125|3127|3128|3129|3130|3131|3132|3135|3136|3137
20-english	3128
20-million	3128
200	3120|3121|3128|3132|3136|3137
2000	3120|3127|3128|3130|3131|3132|3136|3137
2000-5-18	3128
200080	3132
2000s	3119
2001	3120|3122|3123|3124|3127|3128|3129|3131|3132|3136|3137|3138
2001-12-27	3131
2002	3121|3123|3124|3127|3128|3129|3130|3131|3132|3135|3136|3137
2002067996	3124
2003	3120|3121|3122|3123|3128|3132|3136|3137
2003-04-18	3132
2003astro	3123
2004	3119|3120|3121|3128|3129|3132|3136|3137
2004-01-09	3128
2005	3121|3123|3124|3126|3127|3128|3129|3130|3131|3132|3135|3136|3137
2006	3121|3122|3123|3124|3128|3129|3131|3132|3135
2006-02-19	3128
2006-04-12	3128
2006-04-18	3128
2006-08-30	3135
2006-09-11	3128
2006-09-14	3128
2006-12-20	3124
20060225184454	3128
200604	3128
20060612203747	3128
20061123045627	3132
20061790	3132
2007	3119|3121|3123|3124|3126|3127|3128|3129|3131|3132|3136|3137
2007-03-24	3128
2007-05-16	3128
2007-05-18	3129
2007-05-31	3128
2007-06-07	3128
2007-06-21	3128
2007-07-21	3128
2007-12-25	3128
200706181790	3128
2008	3119|3121|3124|3125|3127|3128|3129|3131|3132|3134|3136|3137
2008-01-12	3129
2008-02-02	3128
2008-02-21	3128
2008-03-28	3123|3128
2008-04-11	3131
2008-04-18	3134
2008-06-19	3128
2008-09-26	3134
2008-3-4	3128
20080220	3132
20080624223842	3128
20081029073246	3128
2008Sci	3128
2009	3119|3120|3121|3124|3127|3128|3129|3130|3131|3132|3133|3136|3137
2009-02-27	3120
2009-03-16	3128
2009-04-21	3122
2009-04-23	3127
2009-08-13	3131
2009-09-29	3128
2009-12-30	3128
2009-wrs-country-updates	3128
20090307213227	3128
201	3123|3127
2010	3119|3120|3121|3122|3123|3124|3126|3128|3129|3131|3132|3133|3135|3136|3137
2010-02-06	3128
2010-02-11-etta-james_N	3132
2010-06-02	3128
2010-08-16	3122
2010-12-30	3128
2010935080	3124
2010th	3129
2011	3119|3120|3121|3122|3124|3127|3128|3129|3131|3132|3133
2011-11-08	3131
2011-12-04	3134
2011283684	3124
2012	3119|3120|3121|3122|3123|3124|3126|3127|3128|3129|3131|3132|3135
2012-01-20	3132
2012-03-03	3128
2012-08-06	3129
2012-12-13	3132
2013	3119|3120|3121|3122|3123|3124|3125|3127|3128|3129|3130|3131|3132|3133|3134|3135|3136|3137|3138
2015	3128
2017	3128
202	3127|3128|3136|3137
2020	3127
2025	3127
205	3124|3130
2060	3128
208	3136|3137
2096302	3129
2099	3128
20Achievement	3132
20Award	3132
20Blind	3132
20Fame	3132
20Go	3132
20Grammy	3132
20Hall	3132
20Hawkins	3132
20I	3132
20Itch	3132
20Lifetime	3132
20Rather	3132
20Rel	3124
20Year	3132
20and	3124
20century	3129
20etta	3132
20james	3132
20migration	3129
20of	3132
20th	3128|3129|3134|3135|3136|3137
20th-century	3127|3129
21	3119|3120|3121|3122|3123|3124|3127|3128|3129|3130|3131|3132|3135|3136|3137
21-22	3129
210	3127|3128|3136|3137
212	3128|3135|3136|3137
213	3128
2131T	3123
214	3124|3128
2147rank	3128
215	3124
2158	3128
216	3135
216612	3128
218	3119
219	3128
21_6	3131
21st	3128|3131
22	3119|3120|3121|3124|3126|3127|3128|3129|3130|3131|3132|3134|3135|3136|3137
222	3129
22329860	3127
227	3128
23	3119|3120|3121|3124|3127|3128|3129|3130|3131|3132|3134|3135|3136|3137
23-34	3129
230	3128
2307	3129
232	3133
232329	3128
233	3119
235	3128
237	3128|3133
239	3127|3128
24	3119|3121|3124|3126|3127|3128|3129|3130|3131|3132|3135|3136|3137
24-hour	3123|3124|3125
242	3126|3135
243	3127
248	3128|3131
249	3135
25	3119|3120|3121|3123|3124|3127|3128|3129|3130|3131|3132|3135|3136|3137
250	3128
251	3128|3131|3136|3137
254	3128
256	3132
257	3128
259-267	3122
26	3119|3120|3124|3127|3128|3129|3130|3131|3132|3133|3135|3136|3137
261-266	3127
262	3124|3128|3136|3137
264	3124|3128|3130
264689	3128
265	3127|3134
268	3136|3137
268-277	3133
268ff	3136|3137
27	3124|3127|3128|3129|3130|3131|3132|3135|3136|3137
27-02-04	3128
270	3128
271	3128
272	3127
2724	3124
273	3128
2763	3128
278	3135
27d	3132
27s_Elements	3135
27th	3128
27th-largest	3128
28	3119|3126|3127|3128|3129|3130|3131|3132|3133|3135|3136|3137
283	3134
284	3128
285	3123
287	3124|3136|3137
288	3123
29	3127|3128|3129|3132|3134|3135|3136|3137
29036739	3132
294	3128
297	3128
297-319	3124
298	3128
2CBCA	3128
2CBCA_NGDPD	3128
2CLP	3128
2CNGDPDPC	3128
2CNGSD_NGDP	3128
2CNID_NGDP	3128
2CPCPI	3128
2CPCPIE	3128
2CPCPIEPCH	3128
2CPCPIPCH	3128
2CPPPGDP	3128
2CPPPPC	3128
2CPPPSH	3128
2E	3119
2Nu918tYMB8C	3128
2a	3135
2nd	3120|3128|3134|3135|3136|3137
2x	3136|3137
2x6	3136|3137
3	3119|3120|3121|3122|3123|3124|3125|3126|3127|3128|3129|3130|3131|3132|3133|3134|3135|3136|3137|3138
3-27	3124
3-4-5	3136|3137
3-642-04017-9	3136|3137
30	3119|3121|3126|3127|3128|3129|3131|3132|3135|3136|3137
30-square-meter	3128
300	3128|3134|3135
300-million	3128
3000	3128
30000	3120
306	3128
31	3119|3126|3127|3128|3129|3130|3132|3135|3136|3137
310	3134
312	3123
314	3128|3136|3137
315	3129
315-336	3129
316	3128
3166	3128
318	3136|3137
319	3128
32	3127|3128|3129|3130|3132|3135|3136|3137
32-day	3127
320	3128
320-338	3124
323	3134
324	3128
325	3128|3134
326	3124
327	3122|3128
33	3119|3121|3127|3128|3129|3130|3132|3136|3137
333	3128
3359367	3128
339-366	3129
34	3123|3127|3128|3129|3130|3132|3133|3136|3137
341	3123
342	3128
344	3128
35	3119|3121|3122|3127|3128|3129|3131|3132|3133|3135|3136|3137
350	3135
35520	3119
359	3128
36	3120|3122|3127|3128|3129|3132|3134|3135|3136|3137
360	3129|3134
363	3128
365	3128
366	3128
3666620	3132
367	3120
3672261	3119
368	3120
369	3120
37	3119|3121|3122|3127|3128|3129|3130|3132|3136|3137
370	3120
371	3128
371-390	3123
372	3120|3135|3136|3137
374	3130
375-379	3129
376	3123|3136|3137
377	3128
379-403	3129
38	3124|3127|3128|3129|3130|3132|3135|3136|3137
38-41	3133
380-381	3129
381	3129
383	3128|3129
385	3128
3865378390	3128
387	3128
387-408	3124
389	3129
39	3120|3121|3127|3128|3129|3132|3136|3137
3993156	3128
3A1999	3128
3A9780201508673	3136|3137
3Aentry	3128
3Atext	3128
3D	3119|3124|3128
3D4Con	3124
3Dstripbooks	3131
3Mk2JIJKsGwC	3136|3137
3SL	3119
3UjvAAAAMAAJ	3136|3137
3Un6_LGIEyQC	3128
3ep502syZv8C	3133
3rd	3121|3128|3136|3137
3rd-century	3134
3x4	3136|3137
4	3119|3120|3121|3122|3123|3124|3125|3126|3127|3128|3129|3130|3131|3132|3133|3134|3135|3136|3137|3138
4-	3119
4-5UFUZgAIQC	3132
40	3119|3120|3121|3124|3127|3128|3129|3132|3136|3137
40-51	3123
400	3128
4000	3120
40248217	3136|3137
409	3135
41	3123|3124|3127|3128|3129|3132|3136|3137
410	3128|3136|3137
411	3128
412	3127|3128
41st	3121
42	3127|3128|3129|3132|3133|3136|3137
42-53	3133
420	3128
423	3128
426	3128
42nd	3132
43	3125|3127|3128|3129|3132|3135|3136|3137
435	3128
439	3128|3130
44	3127|3128|3129|3130|3132|3136|3137
4419	3128
44594947	3119
449	3128|3130
45	3121|3124|3128|3129|3132|3134|3136|3137
45-degree	3136|3137
450	3128
456	3128
46	3128|3129|3130|3132|3136|3137
460	3128|3135
461	3135
465	3128
47	3128|3129|3132|3135|3136|3137
470	3128
471	3128
477	3130|3131
479	3131
48	3128|3129|3131|3132|3135|3136|3137
48-41	3121
481	3131
482	3128
485	3136|3137
486-60255-9	3134
49	3128|3129|3132|3135|3136|3137
493	3130
4D	3124
4Music	3132
4aoLAAAAIAAJ	3136|3137
4music	3132
4th	3122|3127|3128|3134|3135|3136|3137
4th-century	3134
5	3119|3120|3121|3122|3123|3124|3125|3126|3127|3128|3129|3130|3131|3132|3133|3134|3135|3136|3137|3138
50	3121|3122|3128|3129|3130|3132|3134|3135|3136|3137
500	3121|3127|3128
500-1050	3133
503	3120
505	3128
50th	3127
51	3128|3129|3132|3134|3136|3137
519-525	3123
51936	3128
51st	3119
52	3128|3129|3132|3136|3137
521	3128
526	3128
529	3124
53	3128|3129|3132|3136|3137
530620702	3126
531	3128|3129
531378042	3124
532	3129|3135
532663305	3133
533590501	3122
534481732	3131
535290367	3130
5363	3124
536651533	3125
536669876	3138
537065279	3132
537143572	3123
537213467	3136|3137
537465556	3129
537608462	3134
537652734	3119
537806168	3127
537913950	3128
538045587	3121
538051581	3135
538071339	3120
538367341	3128
5388	3127
54	3128|3129|3132|3135|3136|3137
