'	56|91|95|97
'21'	95
'40s	95
'42	73
'57	75
'60	94
'62	94
'64	55|56
'65	55|56|58|60
'66	58|59|60|61
'67	61|63
'68	63|65
'69	65|67
'70	67|69|94
'71	69|72
'72	72|74|76
'73	74|76|77
'74	77|79
'75	79|82|85
'76	82|85|86|87
'77	86|87|88
'78	88
'80	94
'90	94
'Adele	95
'Anti-Gaga'	95
'As	93
'Dusty	95
'E	95
'Em	83
'Girl	97
'I'm	95
'Judas'	95
'N	95
'Night	95
'On	93
'Rolling	95
'Rumour	95
'S	95
'Set	95
'The	95
'Vibrating	91
'WG'	91
'Writing	95
'break-up'	95
'dark	93
'dub'	93
'long	95
'n	94
'nu	93
'pass	95
's	91|95
'scapegoats'	97
'u'll	91
-	50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99
-1	95
-1902	91
-1913	91
-88	84
-89	84
-90	84
-91	84
-Album	95
-CIC	94
-Galiano	91
-koNAAAAIBAJ	68
0	53|55|56|58|60|61|63|65|67|69|70|72|74|76|77|79|81|82|84|85|86|87|88|89|94|95|96
0-356-19594-5	60|76|85|87
0-415-31449-6	93
0-465-07619-X	94
0-600-50254-6	87
0-600-57308-7	60|76|85|87
0-634-01788-8	93
0-7385-4501-5	94
0-7486-1745-0	93
0-8018-6773-8	91
0-85112-569-7	60|76|85|87
0-86196-653-8	94
0-89490-864-2	91
00	56|70|84|85|87|89|95|96
000	53|55|56|58|60|61|63|67|69|70|72|74|77|79|81|82|84|86|87|88|91|94|95
005	95
0091-7613	84
00s	95
01	53|55|56|61|70|74|76|77|81|82|84|85|86|87|89|95|96
0114	95
013	61
018	81
019	81
01_Jahresblatt_1984	98
01_jahresblatt_1984	98
01choice	95
02	53|55|56|61|69|70|74|76|77|81|82|84|85|86|87|89|95|96
023	61
028	55
029	53
03	53|55|56|61|70|74|76|77|81|82|84|85|86|87|89|95|96
034	81
0340	96
04	53|54|55|56|61|62|70|74|76|77|81|82|84|85|86|87|89|95|96
043	53|86
044	53
05	53|55|56|61|70|74|76|77|81|82|84|85|86|87|89|95|96
052	53
055	61
056	55
06	53|55|56|61|70|74|76|77|81|82|84|85|86|87|89|95|96
0600	96
0600R	96
064	53
07	53|55|56|61|62|69|70|74|76|77|81|82|84|85|86|87|89|95|96
071	53
072	53
074	53
08	53|54|55|56|61|70|74|76|77|79|81|82|84|85|86|87|89|90|95|96
082	53|55
083	53|81
086	53
087	53|61|81
088	53|81
09	53|55|56|58|61|70|74|76|77|81|82|84|85|86|87|89|95|96
091	55
098	53
0R0aAAAAIBAJ	52
1	50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99
1'	58|61|63|65|67|72|74|77|86
1's	95
1-1	95
1-3	95
1-85153-014-2	76|85
10	50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|66|67|68|69|70|71|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97
10'	55|61|63|67|72|74|77|86
100	53|55|56|60|70|83|84|91|94|95
100'	72|77
10000	82
1000757031	95
1001	88
1002	84
1005	88
101	87|95
101'	70
10150168706748667	95
10150688693183667	95
102	76|86|95
102'	56|61|82
1029	84
102nd	95
103	61|95
104	95
1045913	95
1046498	95
1048053	95
1048171	95
105	76|95
106	95
107	53|95
107'	58|60
1077092	95
107th	60
108	87|95
109	53|81|87|95
109'	67
10th	64|91|96
11	50|51|52|53|54|55|56|57|59|60|61|62|63|64|65|66|67|68|69|70|71|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|99
11'	55|58|69|72|74|77|85|86
11-Year	95
11-chart-facts-about-adeles-21	95
110	94|95
110627crmu_music_frerejones	95
111	81|95
111'	70
1111	95
112	95
112'	56
1126	84
113	53|85|95
113'	67
1130	84
1135	95
114	76|95
114'	77
1149248	95
115	81|95
115'	72
116	94|95
116'	67|77
117	85|95
1177	78
118	95
11814	95
119	61|87|95
119'	77
11th	66|85|91
12	50|51|52|53|54|55|56|57|58|59|60|61|62|64|66|67|68|69|70|71|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|93|94|95|96|97
12'	55|61|65|67|69|72|77|86
12-hour	96
120	61|87|95
120'	65|82
12000	82
1200J	96
1201	84
1201P	84
1208	84
121	53|82|95|96
12105-someone-like-you	95
122	95
1224287432040	95
123	95
124	95
125	87|95
12500	82
126	95
127	95
128	94|95
1288048	78
129	53|95
12th	68|91
13	50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|94|95|96|97|98
13'	55|61|65|67|74|77|86
130	58|95
1305206993	95
1305207122	95
1305207192	95
130bpm	93
131	95
132	95
1324826	75
133	95
1337879282	95
13380753	95
134	95
134168484	95
135	95
135699573	95
136	61|81|95
137	95
1371	95
1379445	99
138	95
138535	64
139	55|95
13th	71|85|91
14	51|53|54|55|56|57|58|59|60|61|62|64|67|68|69|70|71|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|93|94|95|96|97
14'	55|58|63|65|67|77|86
140	95
141	85|95
142	95
143	69|95
144	95
1443	96
145	95
146	95
147	95
148	53|95
148940	95
149	95
14th	73|91
15	52|53|55|56|57|59|60|61|63|67|69|70|72|73|74|76|77|81|83|84|85|86|87|88|89|90|91|94|95|96|97
15'	55|61|67|69|72|77|82|85|86
15-times	95
150	95
15000	82
151	95
152	53|95
153	95
1537133	62
154	53|95
155	95
155818465	95
155829693	95
156	95
157	61|95
158	81|95
159	95
1595326_1595332_1616413	95
15th	75|91
16	52|53|55|56|58|59|61|63|69|71|73|76|81|85|86|87|88|91|93|94|95|96|97|98
16'	55|61|67|79|82
160	84|95
161	95
16188	95
162	95
163	95
164	53|95
165	55|95
1657301	95
1658345	95
166	95
1660115	95
167	94|95
1675398	95
168	95
1681	70
169	76|95
16th	78|91
17	53|55|56|61|63|67|69|71|76|77|81|82|83|84|85|87|90|93|94|95|96|97|98|99
17'	55|58|61|63|65|69|77|86
17-year-old	53
170	84|95
171	95
1712	97
172	61|95
1721	96
173	60|84|95
174	60|95
175	55|81|95
17569906	95
1759	91
176	95
177	95
17759	96
17759-h	96
178	76|95
17837005	84
179	85|95
1790	91
1790s	91
1791	91
1792	91
1793	91
1794	91
1795	91
1796	91
1797	91
1798	91
1799	91
17th	80|91
18	50|51|52|53|55|56|57|61|63|65|66|67|68|71|72|73|75|76|77|79|81|82|84|85|87|91|92|93|94|95|96|97
18'	55|61|65|67|77|79|86
18-month	95
18-times	95
180	85|95
180-0967699-9429864	95
1800	91
1800s	91
1801	91
1802	91
1803	91
1804	91
1804-1813	91
1805	91
1806	91
1806-1812	91
1807	91
1808	91
1809	91
181	85|95
1810	91
1810s	91
1811	91
1812	87|91
1813	91
1814	91|97
1815	91
1816	91
1817	91
1818	91
1819	91
182	93|95
1820	91
1820s	91
1821	91
1822	91
1823	91
1824	91
1825	91
1826	91
1827	91
1828	91
1829	91|95
183	95
1830	91
1830s	91
1831	91
1831-1833	91
1832	91
1833	91
1834	91
1835	91
1836	91
1837	91
1838	91
1839	91
184	87|95
1840	91
1840s	91
1841	91
1842	91
1843	91
1844	91
1845	91
1846	91
1847	91
1848	91
1849	91
185	87|95
1850	91
1850s	91
1851	91
1852	91
1853	91
1854	91
1855	91
1856	91
1857	91
1858	91
1859	91
1859832148	81
186	87|95
1860	60|61|63|65|67|91
1860s	91
1861	91
1862	91
1863	91
1864	91
1865	91
1865-1870	91
1865-April	91
1866	91
1867	91
1868	91
1869	91
187	95
1870	53|81|91
1870-1890	91
1870s	91
1871	53|56|70|81|89|91
1872	53|56|70|81|89|91
1873	53|56|70|81|89|91
1873626398	81
1874	53|56|70|81|89|91
1875	53|56|70|81|89|91
1876	53|56|70|81|89|91
1877	53|56|70|81|89|91
1878	53|56|70|81|89|91
1879	53|56|70|81|89|91
188	81|95
1880	53|56|70|81|89|91
1880-1891	91
1880s	91
1881	53|56|70|81|89|91
1882	53|56|70|81|89|91
1883	53|56|70|81|89|91
1884	53|56|70|81|89|91|96
1885	53|56|70|81|89|91
1886	53|56|70|81|89|91|96
1887	53|56|70|81|89|91
1888	53|56|70|81|89|91
1889	53|56|70|81|89|91
189	53|95
1890	53|56|70|81|89|91
1890s	91
1891	53|56|70|81|89|91
1892	53|56|70|81|89|91
1893	53|56|70|81|89|91|96
1894	53|56|70|81|89|91
1895	53|56|70|81|85|89|91
1896	53|56|70|81|89|91
1897	53|56|70|81|89|91
1898	53|56|70|81|89|91
1899	53|56|70|81|89|91
18th	83|91
18th-century	91
19	53|55|56|58|60|61|63|69|72|76|77|80|81|82|84|85|87|88|90|91|93|94|95|96|97
19'	55|61|69|77|82|86
190	95
1900	53|56|70|81|89|91
1901	53|56|70|81|89|91
1902	53|56|70|81|89|91
1903	53|56|70|81|82|89|91
1904	53|56|70|81|89|91
