'	3204|3205|3210
''mono''	3210
'90s	3209|3210
'Australian	3204
'Beat	3200
'Daydream'	3209
'Em	3209
'Fallin'	3201
'Family'	3207
'Fantasy'	3209
'Fashion	3215|3216
'FutureSex	3203
'Genius	3209
'High'	3200
'Hotel	3205
'Hover	3211
'It's	3201
'N	3209
'Please	3205
'Power'	3210
'Public	3205
'Rare'	3202
'Songs	3201
'The	3198
'There	3204
'Unready'	3202
'Way	3200
'We	3198
'We're	3200
'Where	3200
'all	3204
'assistant'	3202
'bout	3217
'bra'	3202
'brassiere'	3202
'bro'	3202
'brother'	3202
'companion'	3202
'compensatory	3204
'confirmation'	3204
'creative	3215|3216
'em	3201
'fanzine	3210
'given	3202
'in-house	3215|3216
'married'	3202
'meaningful'	3204
'mezza	3203
'mix	3215|3216
'mutational	3203
'name'	3215|3216
'paradigm'	3204
'probability'	3204
'prozines'	3210
'punk	3210
'south'	3202
'stay-at-home'	3208
'that	3204
'there	3204
'this	3204
'unready'	3202
'voce	3203
'whole	3204
'zine	3210
-	3198|3199|3200|3201|3202|3203|3204|3205|3206|3207|3208|3209|3210|3211|3212|3213|3214|3215|3216|3217
--	3201|3210
-1	3209
-10-Homecoming_-_a_film_by_Charles_Dennis	3205
-51	3198
-57	3198
-59	3198
-F	3209
-ar	3211
-eiggj-	3211
-eyggj-	3211
-fa	3198
-for-falkland-islands-government	3198
-ir	3211
-oyggj-	3211
-um	3211
-ur	3211
-zine	3210
0	3198|3201|3204|3209|3211
0-06-461026-8	3204
0-08-758343-7	3204
0-19-512942-3	3204
0-19-869164-5	3203
0-393-31570-3	3204
0-415-34795-5	3198
0-465-06990-8	3204
0-471-13812-6	3204
0-646-45889-2	3209
0-691-12074-9	3204
0-7507-0991-X	3204
0-7619-6351-0	3204
0-8230-7677-6	3209
0-9653575-4-6	3210
00	3201|3204|3209|3215|3216
000	3198|3200|3206|3208|3209|3211
000-30	3211
000-75	3211
000-strong	3198
000000	3207
000001	3207
000129	3207
0006-2510	3209
001125	3208
0015133-02	3200
0084-7658	3198
01	3198|3201|3203|3205|3209
01-e	3209
02	3198|3200|3201|3209|3214
0262-6624	3200
028020-119	3209
03	3198|3200|3201|3202|3209
04	3198|3200|3206|3208|3209
04note	3209
05	3198|3200|3207
050	3206
06	3198|3201|3209
060403crmu_music	3209
07	3198
070312crmu_music_frerejones	3200
08	3200|3203|3205|3209|3217
09	3198|3201|3203|3205|3210|3215|3216
094	3198
0CDIQ6AEwAg	3209
0CE8Q6AEwBjgK	3203
0CEsQ6AEwBw	3209
0D0VNAAACAAJ	3198
1	3198|3199|3200|3201|3202|3203|3204|3205|3206|3207|3208|3209|3210|3211|3212|3213|3214|3215|3216|3217
1's	3209|3212
1-155-56204-6	3209
1-4039-1723-X	3202
1-4051-0345-0	3204
1-56159-174-2	3203
1-84415-429-7	3198
1-85973-814-1	3215|3216
1-904994-10-5	3206
10	3198|3200|3201|3203|3204|3205|3206|3207|3208|3209|3210|3211|3215|3216|3217
100	3198|3200|3201|3206|3209|3210|3211|3217
1000	3198|3211
1000991954	3200
1003545534	3200
1003715369	3200
100_best_songs_of_the_decade	3201
100m	3198
100th	3210
101	3198
10100769	3198
101601192	3207
1017	3198
102	3198|3202|3208
103	3198
1034	3198
104	3198
10468264	3200
105	3198|3201|3208
106	3198|3211
1065-1667	3200
1067	3200
107	3198|3204|3209
108	3198
109	3198
1090909	3204
10937	3200
10987	3204
10th	3205|3211
11	3198|3200|3201|3203|3204|3207|3208|3209|3210|3211|3215|3216|3217
110	3198
1100s	3214|3215|3216
111	3198
112	3198|3210
113	3198|3210
114	3198
115	3198|3203|3207
116	3198
117	3198|3203
118	3198
119	3198
11vnz15	3200
12	3198|3200|3201|3203|3204|3206|3207|3208|3209|3210|3211|3215|3216|3217
120	3198|3215|3216
121	3198
122	3198|3205
123	3198
1234	3208
1235	3208
1237854	3201
124	3198|3215|3216
125	3198
126	3198
127	3198
128	3198
1285	3201
129	3198
13	3198|3200|3201|3203|3204|3207|3208|3209|3210|3211|3212|3215|3216
13-14	3204
130	3198
131	3198
132	3198|3215|3216
132664	3201
133	3198|3204|3215|3216
134	3198|3205|3209|3215|3216
135	3198|3215|3216
136	3198|3206
1369	3211
137	3198|3209
138	3198
139	3198|3215|3216
13th	3203
14	3198|3200|3201|3203|3204|3205|3206|3207|3208|3209|3210|3211|3215|3216
140	3198
140391723X	3202
140416	3198
140425	3198
141	3198|3215|3216
142	3198|3209
1428043	3212
143	3198
1438	3200
144	3198
145	3198|3215|3216
1459775	3212
146	3198
147	3198
148	3198|3203
1483	3211
149	3198
1494091	3215|3216
1494624	3200
14th	3198
15	3198|3199|3200|3201|3203|3204|3205|3207|3208|3209|3210|3211|3213|3214|3215|3216
150	3198|3200|3204|3205|3210|3215|3216
1506189	3200
151	3198
1511313	3200
152	3198
153	3200
1536	3211
1536625	3200
154	3207
155	3209
1552400	3200
1553	3205
156	3204
1564	3205
1567326	3200
1584347	3200
1594167	3200
15th	3211
16	3198|3200|3201|3203|3204|3205|3207|3208|3209|3210|3211|3213|3215|3216|3217
160	3215|3216
1600	3198
16080	3207
161	3201
162nd	3198
1630691	3200
1633	3198
163336	3209
1634715	3200
164	3215|3216
1644	3198
165	3217
167	3198
1690	3198
16th	3198|3203
17	3198|3200|3201|3203|3204|3207|3208|3209|3210|3211|3212|3215|3216
171	3198
172	3198
1721	3202
173	3198
174	3215|3216
1764	3198
1765	3198
1766	3198
1767	3198
1770	3198|3199
1771	3198
1774	3198
1785	3198
17th	3207
18	3198|3200|3201|3203|3204|3207|3208|3209|3211|3212|3215|3216
1800	3198
1800s	3203
1806	3198
1811	3198
1812	3208
1816	3198
1820	3198
1828	3198
1829	3198
1830	3204
1830s	3204
1831	3198
1832	3198
1833	3198
1834	3198
1836	3198
1838	3198
1839	3198
184	3215|3216
1840	3198
1841	3198
1848	3204
1851	3198
1854	3211
1858	3215|3216
187	3198
1876	3210
1880	3198
1885	3198
1886	3204
189	3208
1890	3208
1890s	3204
1891	3211
1893	3204
1896	3208
1899-2003	3213
18th	3207
19	3198|3200|3201|3203|3204|3207|3208|3209|3210|3211|3215|3216
1900	3208
1903	3204
1906	3207
1907	3198
1909	3204
1910	3215|3216
1910651	3200
1911	3198
1913	3204
1914	3198
1917	3203
1918	3204
1920	3207|3213
1920-1978	3207
1920s	3207|3215|3216
1921	3198|3204
1923	3204|3210
1926	3210
1927	3204|3210|3215|3216
1929	3198
193	3208
1930	3210
1930s	3204|3207|3208|3210|3215|3216
1930s-1950s	3215|3216
1931	3198
1933	3210|3213
1934	3204|3206
1936	3204|3207
1937	3210|3211
1938	3211
1939	3198
194	3198
1940	3206|3210
1940s	3208|3215|3216
1941	3206
1942	3198|3204
1945	3198|3204|3208
1946	3208|3213
1947	3202|3210
1948	3211|3213
1950	3198|3206|3208
1950s	3203|3208|3210|3215|3216
1950s-1960s	3215|3216
1951	3204|3206|3213
1952	3210|3213
1953	3210
1954	3198|3208
1955	3208
1956	3213
1958	3210|3213
1959	3204|3213|3215|3216
1960	3204|3206|3207|3208|3210|3213
1960s	3198|3201|3204|3206|3210|3215|3216
1961	3206|3210|3211
1962	3204
1963	3200|3202|3203|3204|3207
1964	3198|3204|3213
1965	3208|3213
1966	3210|3213
1966-2006	3209
1967	3203|3210|3213
1967-1987	3210
1968	3204|3205|3206|3208|3210|3213
1969	3210|3213
197-10	3198
1970	3204|3205|3206|3207|3210|3213
1970s	3201|3205|3206|3210
1970s-1980s	3215|3216
1971	3198|3205|3206|3207|3210|3213
1972	3203|3205|3206|3210|3213
1973	3203|3206|3210
1974	3198|3206|3210|3213
1975	3198|3203|3204|3205|3206|3213
1976	3198|3204|3205|3206|3207|3210|3213
1977	3198|3205|3206|3210|3211
1978	3204|3205|3206|3210|3213
1979	3198|3205|3206|3210
1979's	3200
1980	3198|3203|3204|3205|3206|3210|3213
1980-07-28	3205
1980_film	3205
1980s	3200|3201|3205|3206|3208|3210|3211|3215|3216
1981	3198|3205|3206|3207|3209|3210|3212|3213
1981-05-03	3212
1982	3198|3204|3205|3206|3210|3213
1982-02-26	3204
1983	3198|3205|3206|3210|3213
1984	3198|3205|3206|3210
1985	3204|3205|3206|3210
1986	3198|3203|3204|3205|3206|3213
19869	3198
1987	3198|3205|3206|3208|3211|3213|3215|3216|3217
1988	3205|3206|3208|3213|3217
1989	3198|3205|3206|3208|3210|3213|3215|3216|3217
1990	3198|3205|3206|3208|3209|3213
1990s	3198|3201|3204|3205|3206|3209|3210
1991	3205|3206|3208|3211|3213|3217
1992	3199|3202|3204|3205|3206|3208|3213
1993	3203|3205|3206|3209|3210|3213|3215|3216|3217
1993-2005	3209
1994	3198|3203|3204|3205|3207|3208|3209|3210|3215|3216
1995	3198|3204|3205|3207|3208|3209|3210|3211|3213
1995-08-15	3209
1995-08-18_extra__extra_late-breaking_n	3209
1995-09-23	3209
1995-09-30	3209
1995-10-02	3209
1995-10-08	3209
1995-10-13	3209
1995-10-21	3209
1995-10-28	3209
1995-11-20	3209
1995-11-25	3209
1995-12-18	3209
1996	3204|3205|3209|3215|3216
1996-01-20	3209
1996-02-19	3209
1997	3203|3204|3209|3211
1997-07-26	3205
1997-09-22	3209
1998	3204|3209|3211|3213|3215|3216
1999	3198|3204|3205|3209|3212|3213|3215|3216
19th	3198|3206|3210|3214|3215|3216
1st	3205
2	3198|3200|3201|3202|3203|3204|3205|3206|3207|3208|3209|3210|3211|3212|3213|3215|3216|3217
20	3198|3199|3200|3201|3203|3204|3207|3208|3209|3211|3215|3216|3217
20-	3198
200	3198|3200|3210
2000	3198|3200|3201|3204|3206|3208|3209|3210|3211|3212|3213|3215|3216
2000-07-21	3212
2000-2009	3201
2000s	3201|3205|3206|3210|3214|3215|3216
2001	3198|3200|3201|3203|3204|3206|3208|3209|3210|3212|3213
2001-05-15	3208
2001-06-12	3201
2001-06-24	3201
2001-06-25	3201
2001-07-09	3201
2001-07-16	3201
2001-07-25	3201
2001-10-30	3201
2001-2005	3200
20010001	3201
2001_single	3201
2002	3198|3200|3201|3207|3210|3211|3212|3213|3215|3216
2002-03-29	3204
2002-10-27	3201
2003	3198|3200|3201|3202|3203|3204|3205|3206|3207|3208|3209|3210|3212|3213|3215|3216
2003-01-31	3212
2003-11-10	3208
20030131	3212
2004	3198|3200|3201|3203|3208|3209|3211|3212|3213
2004-12-09	3217
2005	3198|3200|3201|3204|3206|3208|3209|3211|3213|3215|3216|3217
2005-08-04	3209
2005-08-07	3204
20050722	3200
2006	3198|3200|3201|3202|3203|3204|3205|3206|3207|3209|3213
2006-04-03	3209
20061020154105	3201
2007	3198|3200|3201|3203|3204|3205|3206|3207|3208|3209|3211|3212|3213|3215|3216|3217
2007-01	3198
2007-01-03-voa29	3198
2007-03-24	3204
2007-11-28	3200
20070214	3200
20071112010416	3208
200784	3198
2008	3198|3200|3201|3209|3210|3211|3213|3215|3216
2008-02-26	3200
2008-02-29	3200
2008-03-19	3217
2008-05-03	3200
2008-06-30	3200
2008-10-19	3205
2008-12-18	3201
2008-2009	3198
20080126215418	3201
20080328	3200
20080503213551	3200
20080630072717	3200
2009	3198|3200|3201|3202|3203|3205|3206|3207|3210|3211|3212|3215|3216
2009-03-08	3201
2009-04-08	3209
2009-05-05	3209
2009-07-08	3200
2009-07-27	3208
