'1991-2001'	2064
'Friends'	2059
'Nanna'	2060
'Show	2064|2065|2066|2067|2068|2069|2070|2071|2072|2073
'n	2066
-	2057|2058|2059|2060|2061|2062|2063|2064|2065|2066|2067|2068|2069|2070|2071|2072|2073|2074|2075
--	2060
0	2059|2060|2064|2065|2066|2067|2068|2069|2070|2071|2072|2073
0-60	2072
00	2061|2064|2072
000	2073
01	2067|2068|2070|2073
02	2065|2068
03	2067|2069|2071|2073
04	2057|2059|2073
054	2065
058	2065|2066|2067|2068|2069|2070|2071|2072|2073
06	2062|2070
064	2066|2067|2068|2069|2070|2071|2072|2073
07	2070|2072
075	2066|2067|2068|2069|2070|2071|2072|2073
08	2070|2073
089	2065
09	2066|2070|2073
092	2065
1	2057|2058|2059|2060|2064|2065|2066|2067|2068|2069|2070|2071|2072|2073|2074|2075
1's	2064
10	2060|2065|2070|2073|2074
10-second	2065
100	2060|2065|2066|2067|2073
1000	2067|2069|2073
100th	2065|2072
101	2064|2065|2072
102	2073
102d	2065
103	2070
105P	2072
105th	2064
106th	2065
108	2064
10th	2065
11	2060|2067|2070|2072|2073|2074
11'09	2073
11001001	2070
11th	2067
12	2066|2067|2068|2069|2070|2074
121	2064
1221	2067
123	2057
124	2073
12th	2065|2073
13	2064|2065|2070|2074|2075
130	2064
135	2067
138	2057
139	2070
13th	2067
14	2071
140	2057|2065|2074
1400	2071
1401	2071
1402	2071
1403	2071
1404	2071
1405	2071
1406	2071
1407	2071
1408	2071
1409	2071
141	2065
1410	2071
1411	2071
1412	2071
1413	2071
1414	2071
1415	2071
1416	2071
1417	2071
1418	2071
1419	2071
1420	2071
1421	2071
1422	2071
1423	2071
1424	2071
1425	2071
1426	2071
1427	2071
1428	2071
1429	2071
142nd	2065
1430	2071
1431	2071
1432	2071
1433	2071
1434	2071
1435	2071
1436	2071
1437	2071
1438	2071
1439	2071
1440	2071
1441	2071
1442	2071
1443	2071
1444	2071
1445	2071
1446	2071
1447	2071
1448	2071
1449	2071
1450	2071
1451	2071
1452	2071
1453	2071
1454	2071
1455	2071
1456	2071
1457	2071
1458	2071
1459	2071
1460	2071
1461	2071
1462	2071
1463	2071
1464	2071
1465	2071
1466	2071
1467	2071
1468	2071
1469	2071
147	2066|2067|2068|2069|2070|2071|2072|2073
1470	2071
1471	2071
1472	2071
1473	2071
1474	2071
1475	2071
1476	2071
1477	2071
1478	2071
1479	2071
1480	2071
1481	2071
1482	2071
1483	2071
1484	2071
1485	2071
1486	2071
1487	2071
1488	2071
1489	2071
1490	2071
1491	2071
1492	2071
1493	2071
1494	2071
1495	2071
1496	2071
1497	2071
1498	2071
1499	2071
14th	2065
15	2060|2065
1500	2071
1501	2071
1502	2071
1503	2071
1504	2071
1505	2071
1506	2071
1507	2071
1508	2071
1509	2071
151	2059
1510	2071
1511	2071
1512	2071
1513	2071
1514	2071
1515	2071
1516	2071
1517	2071
1518	2071
1519	2071
1520	2071
1521	2071
1522	2071
1523	2071
1524	2071
1525	2071
1526	2071
1527	2071
1528	2071
1529	2071
153	2073
1530	2071
1531	2071
1532	2071
1533	2071
1534	2071
1535	2071
1536	2071
1537	2071
1538	2071
1539	2071
1540	2071
1541	2071
1542	2071
1543	2071
1544	2071
1545	2071
