'	3497|3509|3510
'69	3493
'A	3494
'Cursing	3509
'Dit	3497
'Don	3510
'Em	3511
'Gamelyn'	3497
'Hover	3509
'How	3509
'I'm	3510
'Marra	3509
'Memba	3498
'Northumbrian'	3509
'Oh	3510
'Ring'	3510
'Sounds	3509
'The	3497
'Trias'	3503
'Very	3510
'a	3500
'about'	3509
'analysts'	3501
'chalk'	3503
'clag'	3509
'clarts'	3509
'cockles	3509
'deep	3503
'define	3508
'divvie'	3509
'do'	3509
'em	3511
'fired'	3495
'haadaway	3509
'had	3509
'howk	3509
'just	3509
'keep	3509
'lavatory'	3509
'light'	3495
'line'	3508
'musical'	3509
'necessary'	3509
'necessity'	3509
'plane'	3508
'point'	3508
'redaction	3497
'rigid'	3508
'space'	3508
'toilet'	3509
'topology	3508
-	3493|3494|3495|3496|3497|3498|3499|3500|3501|3502|3503|3504|3505|3506|3507|3508|3509|3510|3511
--	3497
--And	3497
--a	3497
--quod	3497
--seith	3497
--shewe	3497
-1	3509
-dimensional	3506
-e	3497
-metron	3508
0	3503|3504|3505|3506|3509
0's	3506
0-00-211163-2	3510
0-03-029558-0	3508
0-06-093180-9	3505
0-12-636370-6	3505
0-12-636380-3	3504
0-12-703970-8	3508
0-16-048220-8	3505
0-19-506024-5	3505
0-19-510920-1	3505
0-226-68534-9	3499
0-226-68535-7	3499
0-226-73103-0	3503
0-250-40218-1	3505
0-253-11688-0	3510
0-354-04288-2	3510
0-393-92637-0	3505
0-395-29031-7	3497
0-395-91096-X	3496
0-412-00601-4	3505
0-415-01929-X	3500
0-436-11800-9	3510
0-436-11802-5	3510
0-444-82432-4	3507
0-470-84426-4	3505
0-471-09763-2	3508
0-471-38437-2	3495
0-471-54397-7	3508
0-471-60839-4	3506
0-471-82902-1	3505
0-471-86412-9	3495
0-486-61708-4	3505
0-521-43146-8	3499
0-521-44496-9	3495
0-521-59891-5	3495
0-521-61288-8	3499
0-521-78142-6	3503
0-521-78673-8	3503
0-521-86107-1	3509
0-534-55144-0	3505
0-571-11928-X	3510
0-571-21584-X	3510
0-580-41426-4	3509
0-582-10166-2	3495
0-631-13206-6	3499
0-631-23590-6	3497
0-670-81028-2	3498
0-679-44596-X	3510
0-679-77631-1	3506
0-684-85143-1	3510
0-691-11711-X	3500
0-7011-6630-4	3510
0-7167-0344-0	3506
0-8047-1569-6	3504|3505
0-8047-2331-1	3505
0-8120-0039-0	3497
0-8196-0140-3	3497
0-8371-2789-0	3498
0-85328-022-3	3500
0-89181-033-1	3505
0-900409-18-5	3509
0-900409-38-X	3509
0-900409-57-6	3509
0-900409-79-7	3509
0-900463-08-2	3509
0-900463-11-2	3509
0-902833-89-8	3509
0-904790-02-9	3509
0-907780-08-3	3495
0-910763-13-5	3498
0-922152-34-9	3495
0-946098-12-3	3509
0-946928-08-8	3509
0-946928-43-6	3509
0-9543617-3-3	3510
0-9727661-3-8	3498
0-vector	3506
0-vectors	3506
00	3495|3497|3503|3509
000	3493|3495|3501|3504|3505
000-year	3505
00032-6	3501
000415	3505
00050-8	3505
00052-E	3505
00077-8	3505
00096-5	3505
000th	3510
0012-821X	3505
00133-2	3505
0016-7606	3505
002111	3505
0022-1341	3500
00221349008979196	3500
0036-8075	3505
01	3498|3499|3503
01009	3503
0117	3503
02	3498|3499|3505
0221	3506
02260403062	3505
026-5166506-7385210	3509
02693798908941519	3501
02C	3504
03	3496|3498|3503|3504|3506
04	3498
05	3498|3503|3504|3509|3510
050190	3505
050195	3505
052148	3506
0521480221WS	3506
06	3494|3508|3509
0670810282	3498
07	3505
07900629948916	3505
0900409185	3509
090040938X	3509
0900409576	3509
0946928088	3509
0946928436	3509
0CDIQ6AEwAQ	3503
1	3493|3494|3495|3496|3497|3498|3499|3500|3501|3502|3503|3504|3505|3506|3507|3508|3509|3510|3511
1-18	3506
1-19	3509
1-2	3509
1-4051-9146-5	3500
1-55212-552-1	3509
1-58948-245-X	3501
1-59028-055-5	3499
1-7	3509
1-8	3509
1-85109-439-3	3510
1-85619-763-8	3510
1-872010-60-1	3509
1-904794-12-2	3509
1-904794-16-5	3509
1-dimensional	3506
1-vectors	3506
10	3493|3494|3495|3497|3498|3500|3501|3503|3504|3505|3506|3508|3509|3510|3511
100	3493|3501|3503|3504|3505|3509|3510
1000	3503
10000000000000	3501
100185196	3497
10034770	3510
1007	3503|3505
10087	3505
1009557	3506
100th	3511
101	3510
101-110	3495
10101	3505
1016	3501|3505
102	3510
1024	3494
1027	3503
1029	3505
103	3500|3510
1031	3503|3505
1032	3508
1037	3505
1038	3504|3505
104	3508|3510
1048	3505|3508
1049	3505
105	3503|3505|3510
1050	3508
105Z	3505
106	3497|3510|3511
106449	3511
107	3510|3511
107-121	3495
1073950	3505
10772755	3498
108	3510
1080	3500|3501|3503|3505
109	3497|3510
1095	3503|3505
1098	3494
1098803	3503
10Be	3495
10th	3510
11	3495|3496|3497|3498|3500|3501|3502|3503|3504|3505|3506|3508|3509|3510
110	3497|3505|3510
1100	3500
1105	3505
1109	3501
111	3510
1111	3501|3503|3504|3505
1118	3497
112	3510
1123	3508
1126	3503|3505
113	3503|3510
113-114	3503
1130	3503|3505
1131	3508
114	3510
1146	3505
115	3504|3510
11507633	3504
1151277	3500
116	3505|3510
1165	3500
117	3510
118	3498|3510
119	3503|3508|3510
119-137	3503
1194613631	3509
1194614695	3509
1194615370	3509
1194626340	3509
1194978041	3509
1196421632	3509
1198626070	3509
1199487505	3509
11th-century	3503
12	3494|3495|3496|3497|3498|3500|3501|3502|3503|3504|3505|3506|3507|3508|3509|3510|3511
12-hour	3495|3503|3504
120	3509|3510
1200	3503
121-143	3494
12148	3501
122	3494|3509
12215641	3505
1230	3508
124	3510
125	3503|3510
126	3503
127	3505|3510
1275	3497
1279-1280	3495
128-184	3500
1288	3508
1289681	3499
129	3503
1299982	3509
13	3495|3496|3497|3498|3500|3501|3503|3504|3505|3506|3507|3508|3509|3510|3511
1306	3505
1309	3504
1309M	3504
131	3509
1310	3508
1314	3508
132	3503|3505
