'	2921|2936|2937
'-	2927
'55	2926
'7	2929
'Angel'	2930
'As	2926
'Asir	2939
'Blue	2929
'Celeb	2922
'Em	2922
'FUTURE	2922
'Highest'	2929
'Kast-ing	2930
'Let	2926
'Majors	2922
'Mi	2937
'N	2930
'Nah	2937
'Nen	2937
'Now	2937
'Number	2936
'Ostalgie	2936
'Platinum	2922
'Sen'	2937
'Snied'	2937
'Sounds	2933
'Sweetback'	2930
'They	2936
'To	2921
'Watford	2937
'We're	2930
'and	2921
'are	2921
'ball	2937
'be'	2921
'beautiful'	2937
'discovery'	2928
'early	2928
'escapes'	2932
'intermediate-depth'	2932
'is	2921
'is'	2921
'm	2921
'mid-focus'	2932
'n	2930
'n'	2926
'native'	2921
'order'	2921
'pushes'	2932
're	2921
'relation'	2921
's	2921
'scientific	2936
'shallow-focus'	2932
'structure'	2921
'swarm'	2932
'the	2921|2928
'to	2921|2937
'undefined'	2921
'unequivocal'	2929
'without	2921
-	2921|2922|2923|2924|2925|2926|2927|2928|2929|2930|2931|2932|2933|2934|2935|2936|2937|2938|2939
--	2921|2931|2937
-03-01	2929
-1078	2938
-1985	2939
-893	2938
-J	2929
-NASA	2929
-P	2929
-en	2927
-est	2927
-fa	2929
-ing	2921|2927
-s	2927
-st	2927
-th	2927
0	2922|2924|2929|2930|2931|2932|2936
0-03-006228-4	2929
0-04-354029-5	2936
0-04-550028-2	2929
0-06-270084-7	2929
0-09-943682-5	2927
0-13-034129-0	2931
0-13-630350-1	2929
0-19-286030-5	2929
0-19-502572-5	2928
0-19-516589-6	2929
0-19-861263-X	2929
0-300-10884-2	2936
0-309-10586-2	2929
0-312-26977-3	2936
0-312-36653-1	2925
0-313-31822-0	2932
0-313-33229-0	2931
0-333-26219-0	2936
0-375-42532-2	2936
0-387-21894-7	2929
0-387-98746-0	2929
0-395-82517-2	2931
0-444-00092-5	2929
0-495-31667-9	2932
0-521-36615-1	2929
0-521-45759-9	2929
0-521-52291-9	2928
0-521-52958-1	2929
0-521-81306-9	2929
0-521-82206-8	2929
0-521-85371-0	2929
0-525-47433-1	2929
0-582-31569-7	2936
0-662-27820-8	2928
0-671-77853-6	2922
0-674-78405-7	2936
0-676-97487-2	2927
0-679-72019-7	2929
0-684-17993-8	2929
0-691-02594-0	2936
0-7167-5804-0	2929
0-7167-7671-5	2929
0-7866-7303-6	2930
0-8047-1569-6	2929
0-8050-6781-7	2929
0-8065-2558-4	2932
0-8160-6164-5	2931
0-8225-5984-6	2929
0-8493-0481-4	2929
0-8493-2391-6	2929
0-85404-265-2	2929
0-85991-513-1	2929
0-87569-039-4	2928
0-87590-851-9	2929
0-87930-274-7	2930
0-918970-38-5	2921
0-918970-46-6	2921
0-935702-68-7	2929
0-9651207-1-6	2925
0-9667961-4-4	2929
0-9776534-8-X	2925
00	2923|2925|2929|2930|2935
000	2925|2926|2928|2929|2930|2932|2935|2936
000-per-ticket	2926
00000261	2929
000017421	2929
0004-6256	2929
0004-6361	2929
000456303766476977	2936
00055-X	2929
0006	2929
0006-2510	2930
00062510	2922
000949602	2922
0012-821X	2929
00134-2	2929
001405	2929
0019-1035	2929|2932
0025	2929
0033528	2929
0036	2929
007	2929
0091-7613	2932
00_79AR	2929
01	2929|2930|2934
0103	2925
0111602	2929
0123725844	2929
0124406521	2932
01671123	2929
01671388	2929
017	2929
019	2929
02	2925|2926|2929|2930|2932
02-529	2925
02-558	2925
02092	2932
021	2923
0211	2925
022	2929
0225	2929
02C	2929
03	2922|2925|2926|2929|2930
030	2929
0305-4403	2932
030827a	2929
031	2929
0312366531	2925
039	2929
04	2925|2929|2930|2939
041	2923
0431	2932
04648927	2930
05	2925|2929|2930
050176	2929
0504	2930
06	2925|2930|2931|2932
0609	2925
06132003	2930
06march07	2925
07	2925|2929|2932|2933
0701	2925
0703	2925
070802	2929
071800-02	2925
072	2929
07458	2931
075	2929
08	2926|2929|2932|2935
0801	2929
0809436106	2929
08120099108727995	2929
082	2923
083	2925
08321	2929
08542	2931
09	2922|2927|2939
09053083288	2929
09053083288s	2929
098	2929
098903691	2929
098903691s	2929
1	2921|2922|2924|2925|2926|2927|2928|2929|2930|2931|2932|2933|2934|2935|2936|2937|2938|2939
1's	2922
1-156-78621-5	2932
1-2	2929
1-58381-109-5	2929
1-59102-064-6	2929
10	2921|2922|2923|2924|2925|2926|2927|2928|2929|2930|2931|2932|2936|2937|2938
10-millionth	2929
100	2925|2926|2928|2929|2930|2931|2932|2936
1000	2931|2932|2938
1002	2929
1003-1320	2938
1003668840	2926
1006	2932
1006825	2930
1007	2929
100km	2929
100s	2929
101	2925|2929|2930|2931|2936
1010	2929
1012	2929
1013	2929
1015	2929
1016	2929|2932
1017	2938
1018	2929
102	2929|2930|2931
1022	2929
1024	2929
1026	2938
1029	2929
103	2921|2929|2930|2931
103383	2925
1036	2938
1038	2929|2932
1038-	2938
103R	2929
103rd	2930
104	2924|2929|2930|2931
1040	2938
1048	2932
1048T	2932
10493	2932
105	2929|2930|2936|2939
1051	2929
10548	2923
106	2926|2929|2930
1061976	2929
1065793	2930
107	2929|2930|2936
107-108	2931
1070	2938
10710791	2929
1073	2929
1075	2938
1076	2938
1077	2938
1078	2938
1078c	2938
108	2926|2929|2930|2936
1080	2929
1080679	2929
1083	2938
10856206	2929
1086	2929
1088	2929
109	2929|2930
10910788	2932
1098	2932
10_heat	2929
10th	2937|2938
11	2921|2922|2925|2926|2927|2928|2929|2930|2931|2932|2934|2936|2937|2939
110	2929|2930|2932
1100	2938
11000805070622667	2930
1101923322669	2926
1102	2938
1104	2929
110400	2929
111	2929|2930|2936
1111	2929|2932
1114	2929
1117926	2929
1118	2929
1118842	2929
1118L	2929
112	2929|2930
112-113	2926
1126	2929
11298438	2929
113	2929|2930
1130	2929|2932|2938
1136	2929
1137	2929
114	2925|2929|2930
1144	2929
1146	2929|2932
1147	2938
11486082	2929
115	2929|2930
1150	2938
11507633	2929
115304	2930
11535	2929
11538226	2929
116	2929|2930
117	2929|2930
1170	2938
1174	2938
1175	2929
1176	2932
1178	2938
118	2922|2929|2930
1184	2938
11876	2929
1189	2938
119	2929|2930
1198	2938
11th	2929|2938
12	2921|2922|2924|2925|2926|2927|2928|2929|2930|2931|2932|2936|2937|2939
120	2928|2929|2930|2936
1200	2938
1200s	2938
12033366	2926
12041144	2930
12047764	2930
12047781	2930
12051020	2930
1206	2938
121	2928|2929|2930
1211	2938
12198540	2929
122	2929|2930
1220	2932|2938
1223	2938
1227	2929
1228	2938
1229	2929
1229H	2929
123	2929|2930
1230	2938
1236	2938
1238	2938
124	2929|2930
124085	2927
1242	2929
1243	2938
1244	2929|2938
12443-earth-asteroid-companion-discovered-2010-tk7	2929
1249	2932
125	2926|2929|2930|2936
12560541	2929
1258	2936
126	2929|2930
126-127	2926
1260	2932
1264	2938
1266	2932
127	2929|2930
1272	2938
1279	2938
128	2929|2930
12880534	2936
129	2929
1290	2938
1293	2938
13	2921|2922|2925|2926|2927|2928|2929|2930|2931|2932|2936|2937|2939
13-17	2931
13-year-old	2925
130	2929|2936
1300	2928|2938
1300s	2938
13022	2929
1306	2938
1308466	2930
1309	2929
1309M	2929
130s	2938
131	2929|2936
1310	2938
1313	2929
1313a	2929
13170-video-joe-walsh-to-release-first-album-in-18-years	2926
1318	2923
132	2929
1320	2929|2938
13204	2925
1323	2938
1324	2938
1325	2938
1327	2938
1328	2938
133	2926|2929
1334	2938
1336	2938
134	2929
1341	2938
1345	2938
1346	2938
1347	2938
135	2928|2929
1352	2938
1356	2938
1358	2938
136	2926|2929
1365	2928
1365-246X	2932
1365-2966	2929
1365003	2930
137	2929|2936
1378	2938
138	2929
139	2928|2929
1392	2928
1399	2938
13th	2925|2928
14	2922|2925|2926|2927|2928|2929|2930|2931|2932|2936|2937
14-month	2929
14-year	2926
140	2929|2936
141	2929
1412	2938
1414	2938
1415	2928|2938
1418	2928
142	2929
1424	2938
1425	2938
143	2929
1434	2938
1439	2928
144	2929
1441	2929
1441M	2929
1444	2928
1448	2938
1449	2929
145	2929
1450	2928
1451	2928|2938
14527300	2929
1453	2928
1456	2928
146	2929|2936
14626	2930
1467	2928
1468	2928
1469	2938
147	2929
147-Names-for-the-Columbia-astronauts-provisionally-approved	2929
1471	2928
1472671	2930
1473	2928
1476	2927
1477	2928
1478	2928
148	2929|2936
1481	2928
1484889	2930
1485	2927|2928
1486	2928
149	2925|2929
1490	2938
1491	2927
1492	2927|2928
1494	2928
14970922	2929
1498	2928
1499	2938
14th	2925|2927|2928|2932
15	2922|2925|2926|2927|2928|2929|2930|2931|2932|2936
15'	2929
150	2926|2929|2932|2936
1500	2928
1501	2928|2929
1501R	2929
1502	2928
1503	2929
1505	2938
1507	2928
1508	2928
1509	2927
151	2929|2932
1510	2938
1511	2928|2929
1515	2928|2938
1517	2928
1519	2928
152	2929|2936
1520-0469	2929
1521	2928|2938|2939
1523	2928
1525	2927|2928
1526	2928|2938
1528	2928
153	2926|2929
1532	2928
1535	2928|2929
1535B	2929
1536	2928
1539	2927
154	2929
1540	2928
1541	2938
1542	2928
1543	2928
1545	2928
1547	2928
1549	2927|2928
155	2929
1550	2928
1551	2928
1556	2927|2932
1557	2927|2932
1558	2927
1559	2938
155S	2929
156	2929|2932
1565	2928
1565979	2926
1568	2928
157	2929|2932
1572	2938
1573	2928
15752514	2929
1576	2928
158	2929
1586-1593	2927
159	2925|2929
1590	2927
1592	2927
1594	2938
1596	2938
1597	2938
15_tanimoto	2929
15th	2927|2928|2930|2938
16	2922|2925|2926|2928|2929|2930|2931|2932|2936|2937|2939
160	2929|2931
1600	2928|2938
1603	2927|2928
1605	2938
1607	2927|2928
1609	2927
161	2925|2929
1611	2927
1612	2927
16123276	2929
16177788	2932
162	2929
1620	2938
1623	2927|2929
1625	2927
16293721	2929
163	2927|2929|2932
16308422	2929
1632	2928
163294-emas-beyonce-wins-best-song-for-halo-song	2922
164	2923|2929
1643	2928
1644	2928
1646	2938
1647	2927|2928|2932
1648	2928
1649	2927
165	2927|2929|2936
1650	2938
1651	2927
1652	2928
1656	2938
1658	2938
1659	2928
16592703	2929
16592930	2929
166	2929|2936
1660	2927|2928
1662	2927
1666	2927
1667	2927
167	2929|2936
1671	2929
1671K	2929
1674	2929|2938
1677	2928
168	2929
1681	2937
1683	2928
1685	2936
1688	2927|2928
1689	2928
169	2929
1690s	2927
1694	2928
16th	2927|2928|2929|2930
17	2922|2925|2926|2928|2929|2930|2931|2932|2936|2938
17-year-old	2925
170	2925|2929
1700	2927|2938
1701	2928
1704	2928
1706	2928
1707	2938
170_SR	2929
171	2927|2929|2936
1713	2928
1714	2927|2928
172	2927|2929|2936
1720	2930
1722	2928
1727	2928
1729	2938
173	2929
1733	2928
